"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Practise Scenarios","Page screenshot can be captured","0","0","1","0","0"
"","Quality Gates","Accessibility scan","0","0","1","0","0"
"","Quality Gates","Visual baseline check","0","0","1","0","0"
"","Health","API root is reachable","0","0","1","0","0"
"","Practise CRUD","POST with JSON body sends content-type header","0","0","1","0","0"
"","Practise CRUD","Custom headers are merged with defaults","0","0","1","0","0"
"","Practise Scenarios","Scenarios page loads","0","0","1","0","0"
"","Practise CRUD","GET with query params","0","0","1","0","0"
"","Health","Correlation id is propagated","0","0","1","0","0"
"","Practise UI + API","UI loads and API responds","0","0","1","0","0"
"","Practise API health","","0","0","1","0","0"
"","Practise UI smoke","","0","1","0","0","0"
